"Address","RoutingKey","Date","Price","FullMarketPrice","VATExclusive","DescriptionofProperty","PropertySizeDesc","OtherPropertiesInThisSale"
"THE TOWER HOUSE, BALLYGOWAN, MILFORD","R93","31/12/2013","125000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","<A HREF="/WEBSITE/NPSRA/PPR/NPSRA-PPR.NSF/ESTAMPUNID/UNID-66DB0B46DC8A55E580257C85003E566D?OPENDOCUMENT">THE TOWER HOUSE, BALLYGOWAN, MILFORD</A>"
"THE TOWER HOUSE, BALLYGOWAN, MILFORD","R93","31/12/2013","175000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","<A HREF="/WEBSITE/NPSRA/PPR/NPSRA-PPR.NSF/ESTAMPUNID/UNID-77C2C106C607C0D080257C85003E566B?OPENDOCUMENT">THE TOWER HOUSE, BALLYGOWAN, MILFORD</A>"
"THE TOWER HOUSE, BALLYGOWAN, MILFORD","R93","31/12/2013","175000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","<A HREF="/WEBSITE/NPSRA/PPR/NPSRA-PPR.NSF/ESTAMPUNID/UNID-77C2C106C607C0D080257C85003E566B?OPENDOCUMENT">THE TOWER HOUSE, BALLYGOWAN, MILFORD</A>"
"9 FELTHAM HALL, BLACKBOG RD, CARLOW","R93","23/12/2013","155000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"00 GARRETTSTOWN, RATHVILLY, CO. CARLOW","R93","20/12/2013","45466.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"10 WOODLAWN PARK, BORRIS, CO. CARLOW","R95","20/12/2013","35251.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"15 MILLBROOK APTS, MILL LANE, CARLOW","NA","20/12/2013","53000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"17 LARAGH BEG, BALLON","R93","20/12/2013","30000.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"19 HILLVIEW DR, RATHNAPISH, CARLOW","NA","20/12/2013","134000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"28 FR CULLEN TCE, RATHVILLY, CO. CARLOW","R93","20/12/2013","31261.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"36 NEW OAK ESTATE, CARLOW","R93","20/12/2013","55000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"8 THE ELMS, ATHY RD, CARLOW","R93","20/12/2013","100000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"BALLYCRINNEGAN, GRAIGUENAMANAGH, KILKENNY","R95","20/12/2013","130000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"BALLYKILDUFF, TOBINSTOWN, TULLOW","R93","20/12/2013","120000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"JOHNDUFFSWOOD RD, OLD LEIGHLINN, CARLOW","NA","20/12/2013","99000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"4 HIGH STREET, CLONEGAL, CO. CARLOW","Y21","19/12/2013","35216.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"4 RAILWAY TERRACE, BORRIS, CARLOW","NA","19/12/2013","100000.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"6 PALATINE, CO. CARLOW","R93","19/12/2013","46661.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"95 GLEANN NA BEARU  ROYAL OAK ROAD, MUINEBHEAG, CO. CARLOW","R21","19/12/2013","57076.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"KNOCKEEN HOUSE, KNOCKEEN, GRAIGUENAMANAGH","R95","19/12/2013","292500.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"16 MILLBROOK APTS, MILL LANE, CARLOW","NA","18/12/2013","47500.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"177 NEW OAK ESTATE, TULLOW ROAD, CO. CARLOW","NA","18/12/2013","45191.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"2 KILLOUGHTERANE, BORRIS, CARLOW","NA","18/12/2013","137500.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"44 WOLSELEY PARK, MOUNT WOLSELEY, TULLOW","R93","18/12/2013","112450.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"47 WOLSELEY PARK, MOUNT WOLSELEY, TULLOW","R93","18/12/2013","112450.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"82 GLEANN NA BEARU  ROYAL OAK ROAD, MUINEBHEAG, CO. CARLOW","R21","18/12/2013","53058.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"89 GLEANN NA BEARU  ROYAL OAK ROAD, MUINEBHEAG, CO. CARLOW","R21","18/12/2013","52935.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"SPRINGHILL, KILLESHIN","R93","18/12/2013","246000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"22 OAK HILL, PALATINE ROAD, CO. CARLOW","NA","17/12/2013","38751.00","FALSE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
