"Date","Price","Url","Address","County"
"07/10/2016","163,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-7C84599DD451B2D78025804A00477D95?OpenDocument","27 THE PADDOCKS, BROWNESHILL RD, CARLOW","Carlow"
"06/10/2016","130,000.00 **","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-994927405793F6178025804A00477E55?OpenDocument","ARAGHTY, GRANGEGROVE, TULLOW ROAD","Carlow"
"06/10/2016","140,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-F16162BB8DC273748025804A00477CC3?OpenDocument","BALLINABRANNA, CARLOW","Carlow"
"05/10/2016","215,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-647D3C6F8261E4C58025804A00477A20?OpenDocument","LARK WALK, SLYGUFF, BAGENALSTOWN","Carlow"
"05/10/2016","205,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-A089B33FC40A4A738025804A00477D57?OpenDocument","TOWNSLOUGH, LEIGHINBRIDGE, CARLOW","Carlow"
"03/10/2016","120,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-AE65683186D196B48025804A004779E2?OpenDocument","33 WOLSELEY VILLAGE, TULLOW, CARLOW","Carlow"
"30/09/2016","170,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-84D9F217204C71FA8025804A004772CA?OpenDocument","7 COLLEGE GREEN, GREEN RD, CARLOW","Carlow"
"30/09/2016","94,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-23F11CA0EC702A4080258043004783E3?OpenDocument","SHERWOOD, KILDAVIN, BUNCLODY","Carlow"
"29/09/2016","135,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-0E9C03E62A9461778025804A004774D9?OpenDocument","3 KEVIN BARRY ROAD, RATHVILLY, CO CARLOW","Carlow"
"29/09/2016","240,000.00","https://www.propertypriceregister.ie/Website/npsra/PPR/npsra-ppr.nsf/eStampUNID/UNID-FDB4CDFA0C80CBD08025804300478386?OpenDocument","7 DONN OR, BROWNS HILL RD, CARLOW","Carlow"
